section,item,source_status,local_asset,notes
home-carousel,Композитные материалы,confirmed-original,assets/images/home-slide-composite.webp,"Извлечено из сохраненного исходного home/MHTML; проверено по SHA-256"
home-carousel,Presswood. Производство прессованных поддонов,confirmed-original,assets/images/home-slide-presswood.webp,"Извлечено из сохраненного исходного home/MHTML; проверено по SHA-256"
home-carousel,Древесноугольные брикеты из опилок,confirmed-original,assets/images/home-slide-charcoal-briquettes.webp,"Извлечено из сохраненного исходного home/MHTML; проверено по SHA-256"
home-carousel,Кальянный уголь из древесных отходов,confirmed-original,assets/images/home-slide-hookah-charcoal.webp,"Извлечено из сохраненного исходного home/MHTML; проверено по SHA-256"
home-services,Проектирование технологии,confirmed-original,assets/images/home-service-project.webp,"Точный исходник из сохраненной страницы"
home-services,Оптимизация технологических процессов,confirmed-original,assets/images/home-service-optimisation.webp,"Точный исходник из сохраненной страницы"
home-services,Технологический аудит проекта,confirmed-original,assets/images/home-service-audit.webp,"Точный исходник из сохраненной страницы"
home-services,Ревизия технологического оборудования,confirmed-original,assets/images/home-service-revision.webp,"Точный исходник из сохраненной страницы"
home-services,Комплектация производственных линий,confirmed-original,assets/images/home-service-supply.webp,"Точный исходник из сохраненной страницы"
home-services,Монтаж технологического оборудования,confirmed-original,assets/images/home-service-installation.webp,"Точный исходник из сохраненной страницы"
